Date,Dividends
1987-05-11 00:00:00-04:00,0.0
1987-08-10 00:00:00-04:00,0.0
,0.0007135298079081549
,0.0007135298079081549
1988-05-16 00:00:00-04:00,0.0007135298079081549
1988-08-15 00:00:00-04:00,0.0007135298079081549
,0.0014310682102427605
,0.0014310682102427605
1989-05-22 00:00:00-04:00,0.0014310682102427605
1989-08-21 00:00:00-04:00,0.0014310682102427605
,0.0017878331141968381
,0.0017878331141968381
1990-05-21 00:00:00-04:00,0.0017878331141968381
1990-08-20 00:00:00-04:00,0.0017878331141968381
,0.0021445980181509145
,0.0021445980181509145
1991-05-20 00:00:00-04:00,0.0021445980181509145
1991-08-19 00:00:00-04:00,0.0021445980181509145
,0.0021445980181509145
,0.0021445980181509145
1992-06-01 00:00:00-04:00,0.0021445980181509145
1992-08-17 00:00:00-04:00,0.0021445980181509145
,0.0021445980181509145
,0.0021445980181509145
1993-05-28 00:00:00-04:00,0.0021445980181509145
1993-08-16 00:00:00-04:00,0.0021445980181509145
,0.0021445980181509145
,0.0021445980181509145
1994-05-27 00:00:00-04:00,0.0021445980181509145
1994-08-15 00:00:00-04:00,0.0021445980181509145
,0.0021445980181509145
,0.0021445980181509145
1995-05-26 00:00:00-04:00,0.0021445980181509145
1995-08-16 00:00:00-04:00,0.0021445980181509145
,0.0021445980181509145
2012-08-09 00:00:00-04:00,0.37723679568995927
,0.37723679568995927
,0.37723679568995927
2013-05-09 00:00:00-04:00,0.4345035756662284
2013-08-08 00:00:00-04:00,0.4345035756662284
,0.4345035756662284
,0.4345035756662284
2014-05-08 00:00:00-04:00,0.46886123849533395
2014-08-07 00:00:00-04:00,0.46886123849533395
,0.46886123849533395
,0.46886123849533395
2015-05-07 00:00:00-04:00,0.5189686688259629
2015-08-06 00:00:00-04:00,0.5189686688259629
,0.5189686688259629
,0.5189686688259629
2016-05-05 00:00:00-04:00,0.5690760991565917
2016-08-04 00:00:00-04:00,0.5690760991565917
2016-11-03 00:00:00-04:00,0.5690760991565917
,0.5690760991565917
2017-05-11 00:00:00-04:00,0.6292050155533464
2017-08-10 00:00:00-04:00,0.6292050155533464
,0.6292050155533464
,0.6292050155533464
2018-05-11 00:00:00-04:00,0.7294198762146041
2018-08-10 00:00:00-04:00,0.7294198762146041
,0.7294198762146041
,0.7294198762146041
2019-05-10 00:00:00-04:00,0.7695058204791072
2019-08-09 00:00:00-04:00,0.7695058204791072
,0.7695058204791072
,0.7695058204791072
2020-05-08 00:00:00-04:00,0.819613250809736
2020-08-07 00:00:00-04:00,0.819613250809736
,0.819613250809736
,0.819613250809736
2021-05-07 00:00:00-04:00,0.8797421672064907
2021-08-06 00:00:00-04:00,0.8797421672064907
2021-11-05 00:00:00-04:00,0.8797421672064907
,0.8797421672064907
2022-05-06 00:00:00-04:00,0.9198281114709939
2022-08-05 00:00:00-04:00,0.9198281114709939
2022-11-04 00:00:00-04:00,0.9198281114709939
,0.9198281114709939
2023-05-12 00:00:00-04:00,0.9599140557354968
2023-08-11 00:00:00-04:00,0.9599140557354968
,0.9599140557354968
,0.9599140557354968
2024-05-10 00:00:00-04:00,1.0
2024-08-12 00:00:00-04:00,1.0
,1.0
,1.0
