Unnamed__0,Treasury_Shares_Number,Ordinary_Shares_Number,Share_Issued,Net_Debt,Total_Debt,Tangible_Book_Value,Invested_Capital,Working_Capital,Net_Tangible_Assets,Capital_Lease_Obligations,Common_Stock_Equity,Total_Capitalization,Total_Equity_Gross_Minority_Interest,Stockholders_Equity,Gains_Losses_Not_Affecting_Retained_Earnings,Other_Equity_Adjustments,Retained_Earnings,Capital_Stock,Common_Stock,Total_Liabilities_Net_Minority_Interest,Total_Non_Current_Liabilities_Net_Minority_Interest,Other_Non_Current_Liabilities,Tradeand_Other_Payables_Non_Current,Long_Term_Debt_And_Capital_Lease_Obligation,Long_Term_Capital_Lease_Obligation,Long_Term_Debt,Current_Liabilities,Other_Current_Liabilities,Current_Deferred_Liabilities,Current_Deferred_Revenue,Current_Debt_And_Capital_Lease_Obligation,Current_Capital_Lease_Obligation,Current_Debt,Other_Current_Borrowings,Commercial_Paper,Payables_And_Accrued_Expenses,Payables,Total_Tax_Payable,Income_Tax_Payable,Accounts_Payable,Total_Assets,Total_Non_Current_Assets,Other_Non_Current_Assets,Non_Current_Deferred_Assets,Non_Current_Deferred_Taxes_Assets,Investments_And_Advances,Other_Investments,Investmentin_Financial_Assets,Available_For_Sale_Securities,Net_PPE,Accumulated_Depreciation,Gross_PPE,Leases,Other_Properties,Machinery_Furniture_Equipment,Land_And_Improvements,Properties,Current_Assets,Other_Current_Assets,Inventory,Receivables,Other_Receivables,Accounts_Receivable,Cash_Cash_Equivalents_And_Short_Term_Investments,Other_Short_Term_Investments,Cash_And_Cash_Equivalents,Cash_Equivalents,Cash_Financial
4,0.0,0.9202522027133,0.9202522027133,0.7953081733611275,0.7810389534287514,0.9026787129497543,0.8709859484902215,0.0,0.9026787129497543,0.9999999999999999,0.9026787129497543,0.8287068224581291,0.9026787129497543,0.9026787129497543,0.36848902281532503,0.36848902281532503,0.0,1.0,1.0,1.0,0.8104241185487991,1.0,0.37482279557697756,0.7182885048709594,1.0,0.785932945942478,1.0,0.9823864715941478,0.9999999999999999,0.9999999999999999,0.9168313353532692,0.947083583884546,0.9890573188062529,0.9805895039539899,0.9984972951312362,1.0,1.0,1.0,1.0,1.0,1.0,0.9753531170922476,0.9999999999999999,1.0,1.0,0.7153671105828256,0.9446968571361543,0.7153671105828256,0.7153671105828256,0.9223251963575423,0.0,0.9943076537851597,1.0,1.0,0.9894522575869726,1.0,0.0,1.0,0.6731847523912736,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.8569834001144819,0.1555996597675078,0.9590958778518284
3,0.0,0.9466283300945175,0.9466283300945175,0.8413241653962229,0.8137003559865809,0.9850372483753369,0.9223945604310763,0.6612637362637362,0.9850372483753369,0.9664382494938483,0.9850372483753369,0.9142314571767056,0.9850372483753369,0.9850372483753369,0.0,0.0,0.7663052273830717,0.8863538114222586,0.8863538114222586,0.9428854332370223,0.8934809242078174,0.9387727247911777,0.6260682895216493,0.7981253298263543,0.9539362740747315,0.873288361776621,0.823778856183954,0.9502185065551967,0.9772093587101466,0.9772093587101466,0.6941114477670927,1.0,0.7487920416864046,0.8826383896477354,0.5995792426367461,0.7474806667992172,0.7474806667992172,0.3315288898913575,0.3315288898913575,0.9079321345707657,0.9660337552742616,0.961660915573959,0.8476732628535284,0.9155341299553823,0.9155341299553823,0.7862555424353089,0.9999999999999999,0.7862555424353089,0.7862555424353089,0.8826498677489046,0.034909051301601046,0.9565061347132959,0.902058596220052,0.9771128411968858,0.9661238588699729,0.9496152288375861,0.0,0.9384196042801022,0.6924091787211987,0.8689267087565195,0.9206255755325091,0.9587000883257698,0.8832086201736007,0.9445151984778505,0.8967298739638923,0.8576130509444763,0.09106889707967111,1.0
2,0.0,0.9705748282104606,0.9705748282104606,1.0,0.9703930502043626,0.8031700744967507,0.9091204361878291,0.1473748473748474,0.8031700744967507,0.9190935991278617,0.8031700744967507,0.8689574670724058,0.8031700744967507,0.8031700744967507,0.02953077916487301,0.02953077916487301,0.6508334681987377,0.7787237619482203,0.7787237619482203,0.9806934389507516,0.9117779241647223,0.5933558988917399,0.6746729312649358,0.9189653294912926,0.9119552675956333,0.9069986985133724,0.8729534219238968,1.0,0.9591465632197842,0.9591465632197842,1.0,0.9188214070956103,1.0,1.0,1.0,0.7394962380050438,0.7394962380050438,0.24630652982970566,0.24630652982970566,0.929741879350348,0.9665050139733684,1.0,0.7057558507273877,0.7885019744602287,0.7885019744602287,0.9446968571361543,0.7889378074243217,0.9446968571361543,0.9446968571361543,0.850384638681931,0.015085502668554573,0.9553209247975961,0.7918920817817747,0.9461588969139855,1.0,0.8961522883758607,0.0,0.8850752024681835,1.0,0.6788361240735657,0.919825490995275,0.9974111412298602,0.843579766536965,0.7411885654662349,0.6999545815828317,0.6767601602747567,0.2891976183725546,0.6539722839310271
1,0.0,1.0,1.0,0.9310952780975493,1.0,1.0,1.0,1.0,1.0,0.7663915277994081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6888539315048754,0.6888539315048754,0.9346881797227543,1.0,0.5012010700442212,1.0,1.0,0.7439424869086714,1.0,0.7113757993559798,0.8733612008360251,0.9227785186083161,0.9227785186083161,0.7526895885478417,0.8779314491882141,0.7396020843202273,0.8638569374550683,0.6010819475055099,0.5730685112127332,0.5730685112127332,0.0,0.0,0.794127030162413,0.9617020110690997,0.9945525649873477,0.7004969729827414,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.04309171114257704,0.9999999999999999,0.7744677861308228,0.8038645530438044,0.9703799654576857,0.811705143782908,0.0,0.8813559322033898,0.6648918626018941,0.903101839143563,0.7775312108449195,0.7683732829774922,0.7865309787488776,0.9611483635359285,0.7862779607130691,1.0,1.0,0.6102119256673366
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7144383394383395,0.0,0.0,0.0,0.0,0.0,0.0,0.9859664227292294,0.9859664227292294,0.7749635863408318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
