Unnamed__0,Tax_Effect_Of_Unusual_Items,Tax_Rate_For_Calcs,Normalized_EBITDA,Net_Income_From_Continuing_Operation_Net_Minority_Interest,Reconciled_Depreciation,Reconciled_Cost_Of_Revenue,EBITDA,EBIT,Net_Interest_Income,Interest_Expense,Interest_Income,Normalized_Income,Net_Income_From_Continuing_And_Discontinued_Operation,Total_Expenses,Total_Operating_Income_As_Reported,Diluted_Average_Shares,Basic_Average_Shares,Diluted_EPS,Basic_EPS,Diluted_NI_Availto_Com_Stockholders,Net_Income_Common_Stockholders,Net_Income,Net_Income_Including_Noncontrolling_Interests,Net_Income_Continuous_Operations,Tax_Provision,Pretax_Income,Other_Income_Expense,Other_Non_Operating_Income_Expenses,Net_Non_Operating_Interest_Income_Expense,Interest_Expense_Non_Operating,Interest_Income_Non_Operating,Operating_Income,Operating_Expense,Research_And_Development,Selling_General_And_Administration,Gross_Profit,Cost_Of_Revenue,Total_Revenue,Operating_Revenue
4,0.0,1.0,0.9999999999999999,0.9392102441810366,0.9935758312353503,0.940978590536176,0.9999999999999999,1.0,0.17054986020503263,0.0,0.0,0.9392102441810366,0.9392102441810366,0.9742734392904824,1.0,0.9136180849727177,0.9187194244845543,0.9918433931484503,0.9918831168831169,0.9392102441810366,0.9392102441810366,0.9392102441810366,0.9392102441810366,0.9392102441810366,1.0,1.0,1.0,1.0,0.17054986020503263,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.940978590536176,0.9916490840112799,0.9916490840112799
3,0.0,0.6099585062240664,0.934346247243077,0.9718645732092221,1.0,0.9579102287672336,0.934346247243077,0.927647383456694,0.0,1.0,0.9965453095934096,0.9718645732092221,0.9718645732092221,0.978511482733156,0.927647383456694,0.937599937479688,0.9426965203608444,1.0,1.0,0.9718645732092221,0.9718645732092221,0.9718645732092221,0.9718645732092221,0.9718645732092221,0.5627416047598238,0.9210511398145524,0.0,0.0,0.0,1.0,0.9965453095934096,0.927647383456694,0.9544086171193902,0.9536181064711509,0.955358853508066,0.9361589081429909,0.9579102287672336,0.9719953946968006,0.9719953946968006
2,0.0,0.6721991701244814,0.9694046531660985,1.0,0.9639725670631131,1.0,0.9694046531660985,0.9693302817815869,0.0717614165890028,0.7452326468344775,0.7507307998937018,1.0,1.0,1.0,0.9693302817815869,0.9680342372234342,0.9709417941340037,0.9967373572593802,0.9983766233766235,1.0,1.0,1.0,1.0,1.0,0.6487613029009378,0.9645139085718913,0.27697841726618705,0.27697841726618705,0.0717614165890028,0.7452326468344775,0.7507307998937018,0.9693302817815869,0.8934692954217203,0.8368186165125917,0.9615664635781891,0.9452023710033596,1.0,1.0,1.0
1,0.0,0.5518672199170125,0.9144147154707004,0.9486688776890474,0.9795989235176664,0.952739033576982,0.9144147154707004,0.9077717179587067,0.3550792171481827,0.672514619883041,0.7555142173797502,0.9486688776890474,0.9486688776890474,0.9344358309293501,0.884211466043371,1.0,1.0,0.9151712887438826,0.9204545454545454,0.9486688776890474,0.9486688776890474,0.9486688776890474,0.9486688776890474,0.9486688776890474,0.48831893509025515,0.8843746203992389,0.749400479616307,0.749400479616307,0.3550792171481827,0.672514619883041,0.7555142173797502,0.884211466043371,0.7636904658325647,0.6985655084475615,0.8419741732766218,0.8458792470791386,0.952739033576982,0.92769724696192,0.92769724696192
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7304856343757945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6774580335731415,0.6774580335731415,1.0,0.7304856343757945,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
