,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Inventory,Receivables,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
9/30/2024,,15116786000,15116786000,76686000000,1.06629E+11,56950000000,1.63579E+11,-23405000000,56950000000,12842000000,56950000000,1.427E+11,56950000000,56950000000,-7172000000,-7172000000,-19154000000,83276000000,83276000000,3.0803E+11,1.31638E+11,36634000000,9254000000,85750000000,11267000000,85750000000,1.76392E+11,51703000000,8249000000,8249000000,20879000000,1575000000,20879000000,10912000000,9967000000,95561000000,95561000000,26601000000,26601000000,68960000000,3.6498E+11,2.11993E+11,55335000000,19499000000,19499000000,91479000000,1.20805E+11,91479000000,91479000000,45680000000,-73448000000,1.19128E+11,14233000000,10661000000,80205000000,24690000000,0,1.52987E+11,14287000000,7286000000,66243000000,32833000000,33410000000,65171000000,35228000000,29943000000,2744000000,27199000000
9/30/2023,0,15550061000,15550061000,81123000000,1.11088E+11,62146000000,1.73234E+11,-1742000000,62146000000,12411000000,62146000000,1.57427E+11,62146000000,62146000000,-11452000000,-11452000000,-214000000,73812000000,73812000000,2.90437E+11,1.45129E+11,34391000000,15457000000,95281000000,10748000000,95281000000,1.45308E+11,50010000000,8061000000,8061000000,15807000000,1663000000,15807000000,9822000000,5985000000,71430000000,71430000000,8819000000,8819000000,62611000000,3.52583E+11,2.09017E+11,46906000000,17852000000,17852000000,1.00544E+11,1.27877E+11,1.00544E+11,1.00544E+11,43715000000,-70884000000,1.14599E+11,12839000000,10417000000,78314000000,23446000000,0,1.43566E+11,14695000000,6331000000,60985000000,31477000000,29508000000,61555000000,31590000000,29965000000,1606000000,28359000000
9/30/2022,,15943425000,15943425000,96423000000,1.3248E+11,50672000000,1.70741E+11,-18577000000,50672000000,11803000000,50672000000,1.49631E+11,50672000000,50672000000,-11109000000,-11109000000,-3068000000,64849000000,64849000000,3.02083E+11,1.48101E+11,21737000000,16657000000,1.09707E+11,10275000000,98959000000,1.53982E+11,52630000000,7912000000,7912000000,22773000000,1528000000,21110000000,11128000000,9982000000,70667000000,70667000000,6552000000,6552000000,64115000000,3.52755E+11,2.1735E+11,39053000000,15375000000,15375000000,1.20805E+11,1.00887E+11,1.20805E+11,1.20805E+11,42117000000,-72340000000,1.14457E+11,11271000000,10087000000,81060000000,22126000000,0,1.35405E+11,21223000000,4946000000,60932000000,32748000000,28184000000,48304000000,24658000000,23646000000,5100000000,18546000000
9/30/2021,,16426786000,16426786000,89779000000,1.36522E+11,63090000000,1.87809E+11,9355000000,63090000000,9842000000,63090000000,1.72196E+11,63090000000,63090000000,163000000,163000000,5562000000,57365000000,57365000000,2.87912E+11,1.62431E+11,18361000000,24689000000,1.19381E+11,8382000000,1.09106E+11,1.25481E+11,45965000000,7612000000,7612000000,17141000000,1460000000,15613000000,9613000000,6000000000,54763000000,54763000000,,,54763000000,3.51002E+11,2.16166E+11,38762000000,,,1.27877E+11,,1.27877E+11,1.27877E+11,49527000000,-70283000000,1.1981E+11,11023000000,8570000000,78659000000,20041000000,0,1.34836E+11,14111000000,6580000000,51506000000,25228000000,26278000000,62639000000,27699000000,34940000000,17635000000,17305000000
9/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
